,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
10,"tensor(463.1344, grad_fn=<SelectBackward>)","tensor(624.6110, grad_fn=<SelectBackward>)","tensor(803.1201, grad_fn=<SelectBackward>)","tensor(917.6102, grad_fn=<SelectBackward>)","tensor(1013.3768, grad_fn=<SelectBackward>)","tensor(1084.9698, grad_fn=<SelectBackward>)","tensor(1141.5481, grad_fn=<SelectBackward>)","tensor(1185.2599, grad_fn=<SelectBackward>)","tensor(1219.4452, grad_fn=<SelectBackward>)","tensor(1246.0614, grad_fn=<SelectBackward>)","tensor(1266.8444, grad_fn=<SelectBackward>)","tensor(1283.0602, grad_fn=<SelectBackward>)","tensor(1295.7230, grad_fn=<SelectBackward>)","tensor(1305.6113, grad_fn=<SelectBackward>)","tensor(1313.3351, grad_fn=<SelectBackward>)","tensor(1319.3693, grad_fn=<SelectBackward>)","tensor(1324.0839, grad_fn=<SelectBackward>)","tensor(1327.7682, grad_fn=<SelectBackward>)","tensor(1330.6479, grad_fn=<SelectBackward>)","tensor(1332.8986, grad_fn=<SelectBackward>)","tensor(1334.6580, grad_fn=<SelectBackward>)","tensor(1336.0336, grad_fn=<SelectBackward>)","tensor(1337.1091, grad_fn=<SelectBackward>)","tensor(1337.9501, grad_fn=<SelectBackward>)","tensor(1338.6079, grad_fn=<SelectBackward>)","tensor(1339.1222, grad_fn=<SelectBackward>)","tensor(1339.5244, grad_fn=<SelectBackward>)","tensor(1339.8392, grad_fn=<SelectBackward>)","tensor(1340.0853, grad_fn=<SelectBackward>)","tensor(1340.2780, grad_fn=<SelectBackward>)"
11,"tensor(278.3708, grad_fn=<SelectBackward>)","tensor(411.6740, grad_fn=<SelectBackward>)","tensor(527.2234, grad_fn=<SelectBackward>)","tensor(607.9847, grad_fn=<SelectBackward>)","tensor(674.9533, grad_fn=<SelectBackward>)","tensor(724.9995, grad_fn=<SelectBackward>)","tensor(764.8032, grad_fn=<SelectBackward>)","tensor(795.4592, grad_fn=<SelectBackward>)","tensor(819.5154, grad_fn=<SelectBackward>)","tensor(838.2276, grad_fn=<SelectBackward>)","tensor(852.8616, grad_fn=<SelectBackward>)","tensor(864.2809, grad_fn=<SelectBackward>)","tensor(873.2061, grad_fn=<SelectBackward>)","tensor(880.1785, grad_fn=<SelectBackward>)","tensor(885.6282, grad_fn=<SelectBackward>)","tensor(889.8879, grad_fn=<SelectBackward>)","tensor(893.2178, grad_fn=<SelectBackward>)","tensor(895.8212, grad_fn=<SelectBackward>)","tensor(897.8569, grad_fn=<SelectBackward>)","tensor(899.4488, grad_fn=<SelectBackward>)","tensor(900.6937, grad_fn=<SelectBackward>)","tensor(901.6673, grad_fn=<SelectBackward>)","tensor(902.4288, grad_fn=<SelectBackward>)","tensor(903.0247, grad_fn=<SelectBackward>)","tensor(903.4907, grad_fn=<SelectBackward>)","tensor(903.8553, grad_fn=<SelectBackward>)","tensor(904.1404, grad_fn=<SelectBackward>)","tensor(904.3636, grad_fn=<SelectBackward>)","tensor(904.5383, grad_fn=<SelectBackward>)","tensor(904.6749, grad_fn=<SelectBackward>)"
12,"tensor(175.9792, grad_fn=<SelectBackward>)","tensor(305.5999, grad_fn=<SelectBackward>)","tensor(363.4008, grad_fn=<SelectBackward>)","tensor(424.9198, grad_fn=<SelectBackward>)","tensor(466.9113, grad_fn=<SelectBackward>)","tensor(501.7429, grad_fn=<SelectBackward>)","tensor(527.9854, grad_fn=<SelectBackward>)","tensor(548.7568, grad_fn=<SelectBackward>)","tensor(564.8188, grad_fn=<SelectBackward>)","tensor(577.4044, grad_fn=<SelectBackward>)","tensor(587.2098, grad_fn=<SelectBackward>)","tensor(594.8774, grad_fn=<SelectBackward>)","tensor(600.8652, grad_fn=<SelectBackward>)","tensor(605.5465, grad_fn=<SelectBackward>)","tensor(609.2053, grad_fn=<SelectBackward>)","tensor(612.0660, grad_fn=<SelectBackward>)","tensor(614.3027, grad_fn=<SelectBackward>)","tensor(616.0517, grad_fn=<SelectBackward>)","tensor(617.4195, grad_fn=<SelectBackward>)","tensor(618.4893, grad_fn=<SelectBackward>)","tensor(619.3260, grad_fn=<SelectBackward>)","tensor(619.9805, grad_fn=<SelectBackward>)","tensor(620.4924, grad_fn=<SelectBackward>)","tensor(620.8929, grad_fn=<SelectBackward>)","tensor(621.2062, grad_fn=<SelectBackward>)","tensor(621.4513, grad_fn=<SelectBackward>)","tensor(621.6431, grad_fn=<SelectBackward>)","tensor(621.7932, grad_fn=<SelectBackward>)","tensor(621.9106, grad_fn=<SelectBackward>)","tensor(622.0024, grad_fn=<SelectBackward>)"
13,"tensor(948.5530, grad_fn=<SelectBackward>)","tensor(1278.2543, grad_fn=<SelectBackward>)","tensor(1677.2190, grad_fn=<SelectBackward>)","tensor(1935.9485, grad_fn=<SelectBackward>)","tensor(2157.7222, grad_fn=<SelectBackward>)","tensor(2323.8086, grad_fn=<SelectBackward>)","tensor(2455.8521, grad_fn=<SelectBackward>)","tensor(2557.8650, grad_fn=<SelectBackward>)","tensor(2637.6794, grad_fn=<SelectBackward>)","tensor(2699.7559, grad_fn=<SelectBackward>)","tensor(2748.1755, grad_fn=<SelectBackward>)","tensor(2785.9021, grad_fn=<SelectBackward>)","tensor(2815.3223, grad_fn=<SelectBackward>)","tensor(2838.2639, grad_fn=<SelectBackward>)","tensor(2856.1611, grad_fn=<SelectBackward>)","tensor(2870.1252, grad_fn=<SelectBackward>)","tensor(2881.0237, grad_fn=<SelectBackward>)","tensor(2889.5317, grad_fn=<SelectBackward>)","tensor(2896.1748, grad_fn=<SelectBackward>)","tensor(2901.3623, grad_fn=<SelectBackward>)","tensor(2905.4150, grad_fn=<SelectBackward>)","tensor(2908.5811, grad_fn=<SelectBackward>)","tensor(2911.0544, grad_fn=<SelectBackward>)","tensor(2912.9875, grad_fn=<SelectBackward>)","tensor(2914.4983, grad_fn=<SelectBackward>)","tensor(2915.6792, grad_fn=<SelectBackward>)","tensor(2916.6025, grad_fn=<SelectBackward>)","tensor(2917.3245, grad_fn=<SelectBackward>)","tensor(2917.8889, grad_fn=<SelectBackward>)","tensor(2918.3301, grad_fn=<SelectBackward>)"
14,"tensor(542.2332, grad_fn=<SelectBackward>)","tensor(906.8318, grad_fn=<SelectBackward>)","tensor(1175.3445, grad_fn=<SelectBackward>)","tensor(1392.7117, grad_fn=<SelectBackward>)","tensor(1558.6112, grad_fn=<SelectBackward>)","tensor(1688.9065, grad_fn=<SelectBackward>)","tensor(1789.9636, grad_fn=<SelectBackward>)","tensor(1868.8304, grad_fn=<SelectBackward>)","tensor(1930.2389, grad_fn=<SelectBackward>)","tensor(1978.1223, grad_fn=<SelectBackward>)","tensor(2015.4514, grad_fn=<SelectBackward>)","tensor(2044.5663, grad_fn=<SelectBackward>)","tensor(2067.2791, grad_fn=<SelectBackward>)","tensor(2085.0022, grad_fn=<SelectBackward>)","tensor(2098.8354, grad_fn=<SelectBackward>)","tensor(2109.6348, grad_fn=<SelectBackward>)","tensor(2118.0674, grad_fn=<SelectBackward>)","tensor(2124.6536, grad_fn=<SelectBackward>)","tensor(2129.7981, grad_fn=<SelectBackward>)","tensor(2133.8181, grad_fn=<SelectBackward>)","tensor(2136.9590, grad_fn=<SelectBackward>)","tensor(2139.4141, grad_fn=<SelectBackward>)","tensor(2141.3330, grad_fn=<SelectBackward>)","tensor(2142.8333, grad_fn=<SelectBackward>)","tensor(2144.0061, grad_fn=<SelectBackward>)","tensor(2144.9233, grad_fn=<SelectBackward>)","tensor(2145.6404, grad_fn=<SelectBackward>)","tensor(2146.2014, grad_fn=<SelectBackward>)","tensor(2146.6399, grad_fn=<SelectBackward>)","tensor(2146.9832, grad_fn=<SelectBackward>)"
15,"tensor(148.5716, grad_fn=<SelectBackward>)","tensor(277.0015, grad_fn=<SelectBackward>)","tensor(351.5690, grad_fn=<SelectBackward>)","tensor(420.4011, grad_fn=<SelectBackward>)","tensor(470.1270, grad_fn=<SelectBackward>)","tensor(510.4800, grad_fn=<SelectBackward>)","tensor(541.3618, grad_fn=<SelectBackward>)","tensor(565.6935, grad_fn=<SelectBackward>)","tensor(584.5917, grad_fn=<SelectBackward>)","tensor(599.3787, grad_fn=<SelectBackward>)","tensor(610.9092, grad_fn=<SelectBackward>)","tensor(619.9183, grad_fn=<SelectBackward>)","tensor(626.9523, grad_fn=<SelectBackward>)","tensor(632.4479, grad_fn=<SelectBackward>)","tensor(636.7410, grad_fn=<SelectBackward>)","tensor(640.0959, grad_fn=<SelectBackward>)","tensor(642.7178, grad_fn=<SelectBackward>)","tensor(644.7673, grad_fn=<SelectBackward>)","tensor(646.3694, grad_fn=<SelectBackward>)","tensor(647.6221, grad_fn=<SelectBackward>)","tensor(648.6017, grad_fn=<SelectBackward>)","tensor(649.3677, grad_fn=<SelectBackward>)","tensor(649.9670, grad_fn=<SelectBackward>)","tensor(650.4357, grad_fn=<SelectBackward>)","tensor(650.8024, grad_fn=<SelectBackward>)","tensor(651.0892, grad_fn=<SelectBackward>)","tensor(651.3136, grad_fn=<SelectBackward>)","tensor(651.4891, grad_fn=<SelectBackward>)","tensor(651.6266, grad_fn=<SelectBackward>)","tensor(651.7341, grad_fn=<SelectBackward>)"
16,"tensor(858.4210, grad_fn=<SelectBackward>)","tensor(1110.2982, grad_fn=<SelectBackward>)","tensor(1385.1567, grad_fn=<SelectBackward>)","tensor(1580.3896, grad_fn=<SelectBackward>)","tensor(1739.1882, grad_fn=<SelectBackward>)","tensor(1862.0563, grad_fn=<SelectBackward>)","tensor(1958.9012, grad_fn=<SelectBackward>)","tensor(2034.5680, grad_fn=<SelectBackward>)","tensor(2093.8684, grad_fn=<SelectBackward>)","tensor(2140.2549, grad_fn=<SelectBackward>)","tensor(2176.5627, grad_fn=<SelectBackward>)","tensor(2204.9690, grad_fn=<SelectBackward>)","tensor(2227.1973, grad_fn=<SelectBackward>)","tensor(2244.5894, grad_fn=<SelectBackward>)","tensor(2258.1995, grad_fn=<SelectBackward>)","tensor(2268.8491, grad_fn=<SelectBackward>)","tensor(2277.1838, grad_fn=<SelectBackward>)","tensor(2283.7068, grad_fn=<SelectBackward>)","tensor(2288.8118, grad_fn=<SelectBackward>)","tensor(2292.8076, grad_fn=<SelectBackward>)","tensor(2295.9353, grad_fn=<SelectBackward>)","tensor(2298.3835, grad_fn=<SelectBackward>)","tensor(2300.3003, grad_fn=<SelectBackward>)","tensor(2301.8003, grad_fn=<SelectBackward>)","tensor(2302.9751, grad_fn=<SelectBackward>)","tensor(2303.8948, grad_fn=<SelectBackward>)","tensor(2304.6147, grad_fn=<SelectBackward>)","tensor(2305.1782, grad_fn=<SelectBackward>)","tensor(2305.6196, grad_fn=<SelectBackward>)","tensor(2305.9653, grad_fn=<SelectBackward>)"
17,"tensor(90.5093, grad_fn=<SelectBackward>)","tensor(96.8107, grad_fn=<SelectBackward>)","tensor(122.4440, grad_fn=<SelectBackward>)","tensor(135.4505, grad_fn=<SelectBackward>)","tensor(148.6611, grad_fn=<SelectBackward>)","tensor(158.0937, grad_fn=<SelectBackward>)","tensor(165.9333, grad_fn=<SelectBackward>)","tensor(171.9593, grad_fn=<SelectBackward>)","tensor(176.7489, grad_fn=<SelectBackward>)","tensor(180.4855, grad_fn=<SelectBackward>)","tensor(183.4216, grad_fn=<SelectBackward>)","tensor(185.7177, grad_fn=<SelectBackward>)","tensor(187.5156, grad_fn=<SelectBackward>)","tensor(188.9216, grad_fn=<SelectBackward>)","tensor(190.0212, grad_fn=<SelectBackward>)","tensor(190.8809, grad_fn=<SelectBackward>)","tensor(191.5529, grad_fn=<SelectBackward>)","tensor(192.0781, grad_fn=<SelectBackward>)","tensor(192.4885, grad_fn=<SelectBackward>)","tensor(192.8093, grad_fn=<SelectBackward>)","tensor(193.0599, grad_fn=<SelectBackward>)","tensor(193.2557, grad_fn=<SelectBackward>)","tensor(193.4088, grad_fn=<SelectBackward>)","tensor(193.5284, grad_fn=<SelectBackward>)","tensor(193.6218, grad_fn=<SelectBackward>)","tensor(193.6949, grad_fn=<SelectBackward>)","tensor(193.7520, grad_fn=<SelectBackward>)","tensor(193.7966, grad_fn=<SelectBackward>)","tensor(193.8314, grad_fn=<SelectBackward>)","tensor(193.8587, grad_fn=<SelectBackward>)"
18,"tensor(429.7316, grad_fn=<SelectBackward>)","tensor(714.9667, grad_fn=<SelectBackward>)","tensor(909.9080, grad_fn=<SelectBackward>)","tensor(1077.5488, grad_fn=<SelectBackward>)","tensor(1201.4739, grad_fn=<SelectBackward>)","tensor(1300.3108, grad_fn=<SelectBackward>)","tensor(1376.2266, grad_fn=<SelectBackward>)","tensor(1435.6174, grad_fn=<SelectBackward>)","tensor(1481.6919, grad_fn=<SelectBackward>)","tensor(1517.6001, grad_fn=<SelectBackward>)","tensor(1545.5397, grad_fn=<SelectBackward>)","tensor(1567.3092, grad_fn=<SelectBackward>)","tensor(1584.2698, grad_fn=<SelectBackward>)","tensor(1597.4928, grad_fn=<SelectBackward>)","tensor(1607.8036, grad_fn=<SelectBackward>)","tensor(1615.8473, grad_fn=<SelectBackward>)","tensor(1622.1240, grad_fn=<SelectBackward>)","tensor(1627.0236, grad_fn=<SelectBackward>)","tensor(1630.8490, grad_fn=<SelectBackward>)","tensor(1633.8367, grad_fn=<SelectBackward>)","tensor(1636.1708, grad_fn=<SelectBackward>)","tensor(1637.9944, grad_fn=<SelectBackward>)","tensor(1639.4197, grad_fn=<SelectBackward>)","tensor(1640.5334, grad_fn=<SelectBackward>)","tensor(1641.4043, grad_fn=<SelectBackward>)","tensor(1642.0850, grad_fn=<SelectBackward>)","tensor(1642.6176, grad_fn=<SelectBackward>)","tensor(1643.0338, grad_fn=<SelectBackward>)","tensor(1643.3595, grad_fn=<SelectBackward>)","tensor(1643.6141, grad_fn=<SelectBackward>)"
19,"tensor(623.1154, grad_fn=<SelectBackward>)","tensor(915.9180, grad_fn=<SelectBackward>)","tensor(1221.2831, grad_fn=<SelectBackward>)","tensor(1432.0297, grad_fn=<SelectBackward>)","tensor(1606.9668, grad_fn=<SelectBackward>)","tensor(1739.3815, grad_fn=<SelectBackward>)","tensor(1843.9719, grad_fn=<SelectBackward>)","tensor(1924.9279, grad_fn=<SelectBackward>)","tensor(1988.2173, grad_fn=<SelectBackward>)","tensor(2037.4777, grad_fn=<SelectBackward>)","tensor(2075.9167, grad_fn=<SelectBackward>)","tensor(2105.8879, grad_fn=<SelectBackward>)","tensor(2129.2764, grad_fn=<SelectBackward>)","tensor(2147.5283, grad_fn=<SelectBackward>)","tensor(2161.7778, grad_fn=<SelectBackward>)","tensor(2172.9048, grad_fn=<SelectBackward>)","tensor(2181.5957, grad_fn=<SelectBackward>)","tensor(2188.3857, grad_fn=<SelectBackward>)","tensor(2193.6917, grad_fn=<SelectBackward>)","tensor(2197.8384, grad_fn=<SelectBackward>)","tensor(2201.0806, grad_fn=<SelectBackward>)","tensor(2203.6152, grad_fn=<SelectBackward>)","tensor(2205.5972, grad_fn=<SelectBackward>)","tensor(2207.1475, grad_fn=<SelectBackward>)","tensor(2208.3596, grad_fn=<SelectBackward>)","tensor(2209.3083, grad_fn=<SelectBackward>)","tensor(2210.0503, grad_fn=<SelectBackward>)","tensor(2210.6311, grad_fn=<SelectBackward>)","tensor(2211.0852, grad_fn=<SelectBackward>)","tensor(2211.4407, grad_fn=<SelectBackward>)"
20,"tensor(363.6271, grad_fn=<SelectBackward>)","tensor(595.5574, grad_fn=<SelectBackward>)","tensor(767.3882, grad_fn=<SelectBackward>)","tensor(903.6678, grad_fn=<SelectBackward>)","tensor(1012.0854, grad_fn=<SelectBackward>)","tensor(1096.5981, grad_fn=<SelectBackward>)","tensor(1163.1562, grad_fn=<SelectBackward>)","tensor(1215.1387, grad_fn=<SelectBackward>)","tensor(1255.8741, grad_fn=<SelectBackward>)","tensor(1287.7148, grad_fn=<SelectBackward>)","tensor(1312.6272, grad_fn=<SelectBackward>)","tensor(1332.1061, grad_fn=<SelectBackward>)","tensor(1347.3413, grad_fn=<SelectBackward>)","tensor(1359.2562, grad_fn=<SelectBackward>)","tensor(1368.5760, grad_fn=<SelectBackward>)","tensor(1375.8663, grad_fn=<SelectBackward>)","tensor(1381.5697, grad_fn=<SelectBackward>)","tensor(1386.0321, grad_fn=<SelectBackward>)","tensor(1389.5239, grad_fn=<SelectBackward>)","tensor(1392.2563, grad_fn=<SelectBackward>)","tensor(1394.3951, grad_fn=<SelectBackward>)","tensor(1396.0688, grad_fn=<SelectBackward>)","tensor(1397.3790, grad_fn=<SelectBackward>)","tensor(1398.4049, grad_fn=<SelectBackward>)","tensor(1399.2079, grad_fn=<SelectBackward>)","tensor(1399.8364, grad_fn=<SelectBackward>)","tensor(1400.3287, grad_fn=<SelectBackward>)","tensor(1400.7140, grad_fn=<SelectBackward>)","tensor(1401.0157, grad_fn=<SelectBackward>)","tensor(1401.2520, grad_fn=<SelectBackward>)"
21,"tensor(125.6453, grad_fn=<SelectBackward>)","tensor(211.7157, grad_fn=<SelectBackward>)","tensor(253.2012, grad_fn=<SelectBackward>)","tensor(295.7525, grad_fn=<SelectBackward>)","tensor(326.4620, grad_fn=<SelectBackward>)","tensor(351.9369, grad_fn=<SelectBackward>)","tensor(371.6379, grad_fn=<SelectBackward>)","tensor(387.3033, grad_fn=<SelectBackward>)","tensor(399.5610, grad_fn=<SelectBackward>)","tensor(409.2074, grad_fn=<SelectBackward>)","tensor(416.7680, grad_fn=<SelectBackward>)","tensor(422.7006, grad_fn=<SelectBackward>)","tensor(427.3505, grad_fn=<SelectBackward>)","tensor(430.9957, grad_fn=<SelectBackward>)","tensor(433.8524, grad_fn=<SelectBackward>)","tensor(436.0912, grad_fn=<SelectBackward>)","tensor(437.8456, grad_fn=<SelectBackward>)","tensor(439.2204, grad_fn=<SelectBackward>)","tensor(440.2976, grad_fn=<SelectBackward>)","tensor(441.1417, grad_fn=<SelectBackward>)","tensor(441.8031, grad_fn=<SelectBackward>)","tensor(442.3214, grad_fn=<SelectBackward>)","tensor(442.7275, grad_fn=<SelectBackward>)","tensor(443.0457, grad_fn=<SelectBackward>)","tensor(443.2950, grad_fn=<SelectBackward>)","tensor(443.4904, grad_fn=<SelectBackward>)","tensor(443.6435, grad_fn=<SelectBackward>)","tensor(443.7634, grad_fn=<SelectBackward>)","tensor(443.8574, grad_fn=<SelectBackward>)","tensor(443.9310, grad_fn=<SelectBackward>)"
22,"tensor(107.7837, grad_fn=<SelectBackward>)","tensor(110.2112, grad_fn=<SelectBackward>)","tensor(136.0583, grad_fn=<SelectBackward>)","tensor(149.9285, grad_fn=<SelectBackward>)","tensor(163.5390, grad_fn=<SelectBackward>)","tensor(173.6048, grad_fn=<SelectBackward>)","tensor(181.9016, grad_fn=<SelectBackward>)","tensor(188.3618, grad_fn=<SelectBackward>)","tensor(193.5004, grad_fn=<SelectBackward>)","tensor(197.5344, grad_fn=<SelectBackward>)","tensor(200.7143, grad_fn=<SelectBackward>)","tensor(203.2124, grad_fn=<SelectBackward>)","tensor(205.1761, grad_fn=<SelectBackward>)","tensor(206.7182, grad_fn=<SelectBackward>)","tensor(207.9291, grad_fn=<SelectBackward>)","tensor(208.8796, grad_fn=<SelectBackward>)","tensor(209.6256, grad_fn=<SelectBackward>)","tensor(210.2109, grad_fn=<SelectBackward>)","tensor(210.6702, grad_fn=<SelectBackward>)","tensor(211.0305, grad_fn=<SelectBackward>)","tensor(211.3131, grad_fn=<SelectBackward>)","tensor(211.5348, grad_fn=<SelectBackward>)","tensor(211.7087, grad_fn=<SelectBackward>)","tensor(211.8450, grad_fn=<SelectBackward>)","tensor(211.9520, grad_fn=<SelectBackward>)","tensor(212.0358, grad_fn=<SelectBackward>)","tensor(212.1015, grad_fn=<SelectBackward>)","tensor(212.1531, grad_fn=<SelectBackward>)","tensor(212.1935, grad_fn=<SelectBackward>)","tensor(212.2252, grad_fn=<SelectBackward>)"
23,"tensor(24.1998, grad_fn=<SelectBackward>)","tensor(36.8939, grad_fn=<SelectBackward>)","tensor(39.4658, grad_fn=<SelectBackward>)","tensor(45.2167, grad_fn=<SelectBackward>)","tensor(48.8183, grad_fn=<SelectBackward>)","tensor(52.1912, grad_fn=<SelectBackward>)","tensor(54.7437, grad_fn=<SelectBackward>)","tensor(56.8387, grad_fn=<SelectBackward>)","tensor(58.4809, grad_fn=<SelectBackward>)","tensor(59.7895, grad_fn=<SelectBackward>)","tensor(60.8208, grad_fn=<SelectBackward>)","tensor(61.6359, grad_fn=<SelectBackward>)","tensor(62.2782, grad_fn=<SelectBackward>)","tensor(62.7844, grad_fn=<SelectBackward>)","tensor(63.1830, grad_fn=<SelectBackward>)","tensor(63.4967, grad_fn=<SelectBackward>)","tensor(63.7435, grad_fn=<SelectBackward>)","tensor(63.9375, grad_fn=<SelectBackward>)","tensor(64.0901, grad_fn=<SelectBackward>)","tensor(64.2101, grad_fn=<SelectBackward>)","tensor(64.3043, grad_fn=<SelectBackward>)","tensor(64.3784, grad_fn=<SelectBackward>)","tensor(64.4365, grad_fn=<SelectBackward>)","tensor(64.4822, grad_fn=<SelectBackward>)","tensor(64.5181, grad_fn=<SelectBackward>)","tensor(64.5462, grad_fn=<SelectBackward>)","tensor(64.5683, grad_fn=<SelectBackward>)","tensor(64.5856, grad_fn=<SelectBackward>)","tensor(64.5993, grad_fn=<SelectBackward>)","tensor(64.6099, grad_fn=<SelectBackward>)"
24,"tensor(18.0043, grad_fn=<SelectBackward>)","tensor(28.0061, grad_fn=<SelectBackward>)","tensor(30.8447, grad_fn=<SelectBackward>)","tensor(34.7879, grad_fn=<SelectBackward>)","tensor(37.3647, grad_fn=<SelectBackward>)","tensor(39.5850, grad_fn=<SelectBackward>)","tensor(41.2630, grad_fn=<SelectBackward>)","tensor(42.6084, grad_fn=<SelectBackward>)","tensor(43.6552, grad_fn=<SelectBackward>)","tensor(44.4802, grad_fn=<SelectBackward>)","tensor(45.1253, grad_fn=<SelectBackward>)","tensor(45.6312, grad_fn=<SelectBackward>)","tensor(46.0269, grad_fn=<SelectBackward>)","tensor(46.3366, grad_fn=<SelectBackward>)","tensor(46.5787, grad_fn=<SelectBackward>)","tensor(46.7681, grad_fn=<SelectBackward>)","tensor(46.9160, grad_fn=<SelectBackward>)","tensor(47.0317, grad_fn=<SelectBackward>)","tensor(47.1221, grad_fn=<SelectBackward>)","tensor(47.1927, grad_fn=<SelectBackward>)","tensor(47.2479, grad_fn=<SelectBackward>)","tensor(47.2910, grad_fn=<SelectBackward>)","tensor(47.3247, grad_fn=<SelectBackward>)","tensor(47.3511, grad_fn=<SelectBackward>)","tensor(47.3716, grad_fn=<SelectBackward>)","tensor(47.3877, grad_fn=<SelectBackward>)","tensor(47.4002, grad_fn=<SelectBackward>)","tensor(47.4101, grad_fn=<SelectBackward>)","tensor(47.4177, grad_fn=<SelectBackward>)","tensor(47.4237, grad_fn=<SelectBackward>)"
25,"tensor(88.6412, grad_fn=<SelectBackward>)","tensor(103.7313, grad_fn=<SelectBackward>)","tensor(119.4980, grad_fn=<SelectBackward>)","tensor(131.4388, grad_fn=<SelectBackward>)","tensor(140.4806, grad_fn=<SelectBackward>)","tensor(147.7232, grad_fn=<SelectBackward>)","tensor(153.3385, grad_fn=<SelectBackward>)","tensor(157.7775, grad_fn=<SelectBackward>)","tensor(161.2498, grad_fn=<SelectBackward>)","tensor(163.9770, grad_fn=<SelectBackward>)","tensor(166.1122, grad_fn=<SelectBackward>)","tensor(167.7847, grad_fn=<SelectBackward>)","tensor(169.0934, grad_fn=<SelectBackward>)","tensor(170.1172, grad_fn=<SelectBackward>)","tensor(170.9177, grad_fn=<SelectBackward>)","tensor(171.5435, grad_fn=<SelectBackward>)","tensor(172.0327, grad_fn=<SelectBackward>)","tensor(172.4150, grad_fn=<SelectBackward>)","tensor(172.7137, grad_fn=<SelectBackward>)","tensor(172.9471, grad_fn=<SelectBackward>)","tensor(173.1295, grad_fn=<SelectBackward>)","tensor(173.2719, grad_fn=<SelectBackward>)","tensor(173.3833, grad_fn=<SelectBackward>)","tensor(173.4702, grad_fn=<SelectBackward>)","tensor(173.5382, grad_fn=<SelectBackward>)","tensor(173.5913, grad_fn=<SelectBackward>)","tensor(173.6328, grad_fn=<SelectBackward>)","tensor(173.6652, grad_fn=<SelectBackward>)","tensor(173.6905, grad_fn=<SelectBackward>)","tensor(173.7103, grad_fn=<SelectBackward>)"
26,"tensor(250.7573, grad_fn=<SelectBackward>)","tensor(332.0066, grad_fn=<SelectBackward>)","tensor(382.4805, grad_fn=<SelectBackward>)","tensor(425.4066, grad_fn=<SelectBackward>)","tensor(457.2336, grad_fn=<SelectBackward>)","tensor(482.9077, grad_fn=<SelectBackward>)","tensor(502.8115, grad_fn=<SelectBackward>)","tensor(518.5513, grad_fn=<SelectBackward>)","tensor(530.8540, grad_fn=<SelectBackward>)","tensor(540.5143, grad_fn=<SelectBackward>)","tensor(548.0720, grad_fn=<SelectBackward>)","tensor(553.9901, grad_fn=<SelectBackward>)","tensor(558.6181, grad_fn=<SelectBackward>)","tensor(562.2375, grad_fn=<SelectBackward>)","tensor(565.0667, grad_fn=<SelectBackward>)","tensor(567.2780, grad_fn=<SelectBackward>)","tensor(569.0059, grad_fn=<SelectBackward>)","tensor(570.3560, grad_fn=<SelectBackward>)","tensor(571.4109, grad_fn=<SelectBackward>)","tensor(572.2350, grad_fn=<SelectBackward>)","tensor(572.8788, grad_fn=<SelectBackward>)","tensor(573.3820, grad_fn=<SelectBackward>)","tensor(573.7748, grad_fn=<SelectBackward>)","tensor(574.0818, grad_fn=<SelectBackward>)","tensor(574.3217, grad_fn=<SelectBackward>)","tensor(574.5091, grad_fn=<SelectBackward>)","tensor(574.6555, grad_fn=<SelectBackward>)","tensor(574.7700, grad_fn=<SelectBackward>)","tensor(574.8594, grad_fn=<SelectBackward>)","tensor(574.9291, grad_fn=<SelectBackward>)"
27,"tensor(64.2828, grad_fn=<SelectBackward>)","tensor(110.5942, grad_fn=<SelectBackward>)","tensor(126.4848, grad_fn=<SelectBackward>)","tensor(145.3512, grad_fn=<SelectBackward>)","tensor(158.2637, grad_fn=<SelectBackward>)","tensor(169.1572, grad_fn=<SelectBackward>)","tensor(177.4719, grad_fn=<SelectBackward>)","tensor(184.0783, grad_fn=<SelectBackward>)","tensor(189.2176, grad_fn=<SelectBackward>)","tensor(193.2480, grad_fn=<SelectBackward>)","tensor(196.3935, grad_fn=<SelectBackward>)","tensor(198.8525, grad_fn=<SelectBackward>)","tensor(200.7725, grad_fn=<SelectBackward>)","tensor(202.2722, grad_fn=<SelectBackward>)","tensor(203.4431, grad_fn=<SelectBackward>)","tensor(204.3575, grad_fn=<SelectBackward>)","tensor(205.0715, grad_fn=<SelectBackward>)","tensor(205.6291, grad_fn=<SelectBackward>)","tensor(206.0646, grad_fn=<SelectBackward>)","tensor(206.4046, grad_fn=<SelectBackward>)","tensor(206.6701, grad_fn=<SelectBackward>)","tensor(206.8776, grad_fn=<SelectBackward>)","tensor(207.0396, grad_fn=<SelectBackward>)","tensor(207.1662, grad_fn=<SelectBackward>)","tensor(207.2651, grad_fn=<SelectBackward>)","tensor(207.3423, grad_fn=<SelectBackward>)","tensor(207.4027, grad_fn=<SelectBackward>)","tensor(207.4498, grad_fn=<SelectBackward>)","tensor(207.4866, grad_fn=<SelectBackward>)","tensor(207.5155, grad_fn=<SelectBackward>)"
